member,strategy,query_id,query,metadata_filter,top1_law,top1_article,top1_score,top3_relevant_count,relevance_score_0_1_2,notes
Tran Quoc Khanh,ArticleBasedLegalChunker,Q1,Luật Dữ liệu quy định dữ liệu là gì?,topic=data,,,,,,
Tran Quoc Khanh,ArticleBasedLegalChunker,Q2,Luật An ninh mạng quy định gì về bảo vệ an ninh mạng?,topic=cybersecurity,,,,,,
Tran Quoc Khanh,ArticleBasedLegalChunker,Q3,Giao dịch điện tử được hiểu như thế nào?,topic=e_transaction,,,,,,
Tran Quoc Khanh,ArticleBasedLegalChunker,Q4,Bộ luật Hình sự quy định cơ sở của trách nhiệm hình sự như thế nào?,topic=criminal_law,,,,,,
Tran Quoc Khanh,ArticleBasedLegalChunker,Q5,Bộ luật Tố tụng hình sự có nhiệm vụ gì?,topic=criminal_procedure,,,,,,
Thanh vien A,FixedSizeChunker,Q1,Luật Dữ liệu quy định dữ liệu là gì?,topic=data,,,,,,
Thanh vien A,FixedSizeChunker,Q2,Luật An ninh mạng quy định gì về bảo vệ an ninh mạng?,topic=cybersecurity,,,,,,
Thanh vien A,FixedSizeChunker,Q3,Giao dịch điện tử được hiểu như thế nào?,topic=e_transaction,,,,,,
Thanh vien A,FixedSizeChunker,Q4,Bộ luật Hình sự quy định cơ sở của trách nhiệm hình sự như thế nào?,topic=criminal_law,,,,,,
Thanh vien A,FixedSizeChunker,Q5,Bộ luật Tố tụng hình sự có nhiệm vụ gì?,topic=criminal_procedure,,,,,,
Thanh vien B,RecursiveChunker,Q1,Luật Dữ liệu quy định dữ liệu là gì?,topic=data,,,,,,
Thanh vien B,RecursiveChunker,Q2,Luật An ninh mạng quy định gì về bảo vệ an ninh mạng?,topic=cybersecurity,,,,,,
Thanh vien B,RecursiveChunker,Q3,Giao dịch điện tử được hiểu như thế nào?,topic=e_transaction,,,,,,
Thanh vien B,RecursiveChunker,Q4,Bộ luật Hình sự quy định cơ sở của trách nhiệm hình sự như thế nào?,topic=criminal_law,,,,,,
Thanh vien B,RecursiveChunker,Q5,Bộ luật Tố tụng hình sự có nhiệm vụ gì?,topic=criminal_procedure,,,,,,
